sample,M4,sec
677,0.053153080308098434,0.3155951499938965
680,0.0527833551710791,0.3166005611419678
683,0.05197527544183041,0.3166005611419678
686,0.04295149332811867,0.3185915946960449
689,0.05390201348787224,0.31959080696105957
692,0.04730732027260241,0.32059192657470703
695,0.06410309262683789,0.3215928077697754
698,0.04248188407452498,0.32259392738342285
701,0.0485555014958509,0.3247241973876953
704,0.05998255380239728,0.3267784118652344
707,0.04371252137826086,0.3287792205810547
710,0.04855587174876181,0.3318016529083252
713,0.04394074933936549,0.33484935760498047
716,0.04073018645255472,0.33585453033447266
719,0.05375683094227674,0.33685302734375
722,0.055191517966610794,0.337862491607666
725,0.031436732668439965,0.33986878395080566
728,0.04324591692718114,0.3418569564819336
731,0.045866459493207695,0.3428530693054199
734,0.046263037215245884,0.34496402740478516
737,0.05318889838357091,0.34702062606811523
740,0.036290850160609324,0.3480198383331299
743,0.03911488790121531,0.35047316551208496
746,0.04173052666063461,0.35147571563720703
749,0.049197719584606434,0.35369133949279785
752,0.05553180367179568,0.3550546169281006
755,0.04846632379133636,0.35605335235595703
758,0.04866883484688936,0.35805511474609375
761,0.05333077002125751,0.3610553741455078
764,0.0437920685018984,0.36205220222473145
767,0.04788401188811072,0.36305713653564453
770,0.04575366463867044,0.3652355670928955
773,0.046318067169972534,0.3672332763671875
776,0.04159029777005402,0.36922621726989746
779,0.045854445727691664,0.37122607231140137
782,0.04992395982970972,0.3732268810272217
785,0.0492815056142491,0.3754618167877197
788,0.04761923738304811,0.3774878978729248
791,0.056793782958859826,0.37849879264831543
794,0.04632836415732915,0.3794982433319092
797,0.05482768416348198,0.38049840927124023
800,0.04858326877503008,0.38249754905700684
803,0.04655455941880107,0.38449883460998535
806,0.05153968819367758,0.3854973316192627
809,0.041131584320425046,0.3862025737762451
812,0.04091039001678817,0.38825368881225586
815,0.039390695836542346,0.3902475833892822
818,0.050496737739801706,0.3912522792816162
821,0.03185193662377578,0.39225053787231445
824,0.04688244799604716,0.39325380325317383
827,0.052281381012221045,0.39544200897216797
830,0.05381873706729081,0.39743828773498535
833,0.047490537386166085,0.39844298362731934
836,0.043605798300296594,0.3994417190551758
839,0.04382815854414067,0.4004383087158203
842,0.05704356276681299,0.40143680572509766
845,0.04646837356800843,0.40143680572509766
848,0.04700152953891584,0.4024367332458496
851,0.05849939806981016,0.40343666076660156
854,0.04446328828701608,0.4046030044555664
857,0.05007258783423381,0.4066922664642334
860,0.04845973895951958,0.4086885452270508
863,0.03324082758560346,0.4106881618499756
866,0.0553378534662723,0.4126887321472168
869,0.05574618877299829,0.4147968292236328
872,0.04437355712713391,0.41585564613342285
875,0.05406433825917153,0.41782712936401367
878,0.03713149278913762,0.41883182525634766
881,0.05429578788390939,0.4198288917541504
884,0.04922950269779384,0.42082953453063965
887,0.047222026498792535,0.42082953453063965
890,0.043638387780245966,0.4218287467956543
893,0.05335056204165841,0.423828125
896,0.05618330896348408,0.4251680374145508
899,0.0416385334088851,0.42617011070251465
902,0.046335377335706154,0.42717957496643066
905,0.052441033285287354,0.4291684627532959
908,0.05012279247650181,0.43016862869262695
911,0.046803063209549356,0.43216824531555176
914,0.04402531243364586,0.4331686496734619
917,0.03734188277656366,0.435382604598999
920,0.04680137654301568,0.4373795986175537
923,0.05783088076048549,0.4393758773803711
926,0.03940647446326236,0.44037866592407227
929,0.03314862289338677,0.4413793087005615
932,0.054487961563639,0.4413793087005615
935,0.04071952591040711,0.44237709045410156
938,0.04834322423590145,0.443375825881958
941,0.04799871632655432,0.4455859661102295
944,0.05038224335807407,0.44658660888671875
947,0.045705159709779564,0.4475874900817871
950,0.049013008518885404,0.448589563369751
953,0.05158983957989523,0.4495854377746582
956,0.04850607155325136,0.4515855312347412
959,0.04525143540338009,0.45258569717407227
962,0.036488252640208885,0.4535865783691406
965,0.056247579137517704,0.45467591285705566
968,0.04449071317200898,0.45671534538269043
971,0.041128341088798176,0.45873212814331055
974,0.04575560838318278,0.46071767807006836
977,0.05826011153523254,0.46172070503234863
980,0.04929359191966423,0.46172070503234863
983,0.04546980942183532,0.4637184143066406
986,0.036221631148317314,0.46479225158691406
989,0.049268938217848696,0.4668402671813965
992,0.04438730854133706,0.46784377098083496
995,0.04127159731307252,0.470841646194458
998,0.0502737216556003,0.4728431701660156
