embed,kume,root_id,x,y,r,angle_deg
M(93x93),PEN,720575940637644659,-0.06984007774145654,0.07076269193891042,0.09942331230337217,134.62403912052486
M(93x93),PEN,720575940626194428,0.053152856584836816,-0.0878825690115525,0.10270624177331421,301.1662546937123
M(93x93),PEN,720575940625407107,0.010717192209024205,-0.010399784693499302,0.014933644247681304,315.8611432265261
M(93x93),PEN,720575940610502851,-0.07225019497927751,0.07155815519137043,0.10168903701449787,135.27571871164267
M(93x93),PEN,720575940625415813,-0.07093456407015443,0.07244927099556472,0.10139333926650047,134.39474986280408
M(93x93),PEN,720575940608918830,-0.08188632290287678,0.07573869076830793,0.11154245450881752,137.23349665579426
M(93x93),PEN,720575940622265894,-0.08349103626720471,0.07749592415659479,0.11391387710835074,137.13269426818832
M(93x93),PEN,720575940626306321,-0.040748068879864915,0.011090567335799134,0.04223038954672484,164.77438781270084
M(93x93),PEN,720575940619476126,0.02960581496124602,-0.031749016928502294,0.04341087830769892,312.9993993139151
M(93x93),PEN,720575940631372369,0.05579104236856595,-0.08633411909262959,0.10279212288921473,302.8714501252721
M(93x93),PEN,720575940612920466,0.022071842854166718,-0.022606364618576624,0.03159452433962331,314.31455665237246
M(93x93),PEN,720575940621074835,0.02283848635986349,-0.023753526169508044,0.032951881049420526,313.8748891216514
M(93x93),PEN,720575940615177099,0.020627191487755738,-0.020685768021048153,0.029212703183600593,314.9187619108625
M(93x93),PEN,720575940638055869,0.0550488611264768,-0.09166096814965666,0.10692104654114855,300.98777954832156
M(93x93),PEN,720575940606123954,0.040034235624634984,-0.0984530434835506,0.1062814273202174,292.1282711008507
M(93x93),PEN,720575940632736703,0.030426080002825567,-0.020411943192320314,0.03663869224228449,326.14352648227083
M(93x93),PEN,720575940624594726,-0.027404377215413653,0.029211522135433016,0.040053875168747324,133.17177444622965
M(93x93),PEN,720575940612763158,-0.0788545998789266,0.0742480249499651,0.10830889682309713,136.72340413998649
M(93x93),PEN,720575940623388237,0.04099210699141005,-0.09786499759330185,0.10610330150156563,292.7270465276467
M(93x93),PEN,720575940626407820,0.05552143072323133,-0.061589099115036364,0.08292072358196298,312.0340736326704
M(93x93),PEN,720575940628866809,0.03736694905455411,-0.08722867715015341,0.09489536869105519,293.1892839880299
M(93x93),PEN,720575940624453680,0.041120198574751736,-0.09208596071079966,0.10084986311769546,294.06274201087086
M(93x93),PEN,720575940658472065,-0.019080512081417096,0.02194999813010373,0.029083816104505163,130.99950907786007
M(93x93),PEN,720575940636242778,-0.07340648581137929,0.07256841784171718,0.10322154536348664,135.32894167998973
M(93x93),PEN,720575940605639858,0.051956050309946156,-0.05393793112176541,0.07489146531819185,313.9277941120298
M(93x93),PEN,720575940627653114,0.054932704993444485,-0.09527171481328776,0.10997409568330711,299.96731319253564
M(93x93),PEN,720575940603823462,0.056739668976659025,-0.08773225383851127,0.10448128253024927,302.8922318549316
M(93x93),PEN,720575940617828731,-0.04415703779828726,0.0480190792271229,0.06523554212957922,132.60079580530785
M(93x93),PEN,720575940628557178,-0.07349371727717312,0.0643747442891072,0.09770073787594974,138.7841775677918
M(93x93),PEN,720575940638832512,0.059133455976131136,-0.04591876662165253,0.0748685430854294,322.1696707300301
