sample,m_r_cv,m_gmax,m_V,m_nzero,s_r_cv,s_gmax,s_V,s_nzero,m_lit_r_cv,m_lit_gmax,s_lit_r_cv,s_lit_gmax
533,3.660135258063097,90.62131295000533,0.7552260574698646,2,2.8512282998221976,121.06513911331389,0.8640900775712661,2,4.342565757243659,151.8832774708722,3.4071270347418396,155.55579464993542
534,2.0522998519670694,46.095765060369175,0.46065931824451883,2,2.3422616739357336,85.89208836259388,0.5347125438779589,2,2.3702407205323857,92.12014507535815,2.633226857597324,91.58178137519202
535,3.0552898078163304,90.10857172044716,0.46463815900702254,2,2.727751007133835,93.17643534123646,0.6595180807146261,2,4.156092864804727,92.83966325291493,3.2710832345555754,156.22937137041347
536,3.036335276548147,90.68964451508158,0.508867682684976,2,2.7611848071157974,99.02891027322566,0.7018768219784044,2,3.9105446283511403,130.03144835382471,2.8559291045706554,130.96713072818392
537,2.591546838104721,69.27669089582685,0.49688581403348464,2,2.668151174120313,91.26946366044656,0.6067478857834806,2,4.022378251717453,92.96886708204161,3.2303391814329885,94.61944478327139
538,2.618606530630927,48.33406747347889,0.5523928701288794,2,2.768385746650681,91.53385253116741,0.660449711250682,2,3.0289176617109552,90.97127695587953,3.1612456550324364,99.67054378420735
539,2.5212810730744737,30.722446400279395,0.4439590834008221,2,2.618488340033029,54.7696561351569,0.47626104067828956,2,3.212047312750647,90.97815649806695,3.0142709660879743,91.22159023919787
540,3.2391638676026386,90.501108698614,0.5880683066811505,2,2.8127645291323344,93.8892802509728,0.7109120953369061,2,3.6660388173752527,103.2927368335154,3.2711185672004373,95.30542632404718
541,2.256269279460829,25.913206694364447,0.35285031435848474,2,2.4150653607362083,45.02676442323806,0.3783887575194878,2,2.8581409992429396,92.51123991468526,2.427220553499165,91.9020828133621
542,2.4258107735616954,88.60935253927387,0.46111891952242123,2,2.52510540453639,91.64653220769542,0.5961283026166664,2,3.1057837130169186,90.40467084158593,2.772666619440812,101.75963347688767
543,3.10957811886222,90.64394066256835,0.623320115874142,2,2.739194013559909,91.55995634391687,0.6462491858713628,2,4.457887263400503,128.12615795407217,2.846278443395842,122.29708824532506
544,3.3854391134482733,90.59879077666754,0.667061203399565,2,2.8423673897744797,112.36981262224097,0.7907494209444735,2,4.013132433678453,90.25015615987341,3.2837620822710454,159.87535347003148
545,2.1115373442100305,41.10299759991974,0.44395326732020923,2,3.086956986258065,48.600494929766306,0.3451020374036133,2,3.00846040423938,92.19019513450695,3.2833387671792367,90.28465924099184
546,2.4579763128744525,85.54840958286152,0.42927264410677335,2,2.3408375519307993,45.316865114577524,0.4855237195225004,2,3.0087446144555003,90.13934309642848,2.6189899123094085,99.97910590734057
547,2.170534923377913,89.82532652985611,0.4776631129933142,2,2.548800785879185,84.36758151868789,0.5240321815010767,2,3.9173762164654233,92.48027960269903,3.248396492324184,98.16552027711806
548,2.6438053798472283,53.281662878793135,0.5298649882003698,2,2.808491564047985,103.40195504802632,0.7294319865419983,2,3.0070199948826306,94.37189991743313,3.2744256259804225,145.28778404999684
549,2.7478909801945246,47.442405772567994,0.5679561651863707,2,2.7426461019453376,81.92645086623232,0.696375415026756,2,3.161090328294188,91.50240999814416,2.6464110226386324,113.25833015608426
550,3.6366674317286343,90.59047898598777,0.6917750073075873,2,2.8352236292990383,112.47972380071145,0.7858256121508707,2,4.407953503514669,143.60675914567693,2.8500630305322288,115.48221488024517
551,2.519881699979238,46.45615505176075,0.6118958454431307,2,2.6933004411561043,91.3804072153908,0.7058503600056574,2,2.9311710374185425,91.420883288214,2.832584259500985,119.40266684034108
552,2.043746534047556,32.4658548518411,0.36251497138206523,2,2.5075594173665894,87.87368586761784,0.4529213345965455,2,2.7339758662475817,90.77800466136749,2.923590125375044,92.13369091098257
553,3.316357316659587,90.74302961805462,0.5258318963803466,2,2.790880809022078,101.82262408975225,0.7106627305231338,2,3.8178629608708627,117.84659715943647,2.852637929069726,122.4144924639547
554,3.1001881402585965,68.3509718765796,0.5336413007173851,2,2.73392731455704,91.07559714094957,0.610514127957749,2,3.5340955909163996,106.5288806500438,2.839599403331006,121.45662045772696
555,2.9210456572702923,69.82572272186532,0.4156517819158013,2,2.8248973020872543,92.3501554769978,0.6345726053608266,2,3.9471365976188495,94.48216915279046,2.756810950430004,94.58733002503395
556,3.148213161704378,86.70869004734,0.512805815657366,2,2.791794075107812,102.91178014619115,0.697149229780357,2,4.37268099867587,93.25388712687021,3.270544196852719,169.10432120325945
557,3.5325748311778824,90.66174408543041,0.6983852138794888,2,2.8256267765904095,94.0214421113704,0.7602902369819362,2,3.783874131848588,115.00767407877383,2.845694356592423,117.9426794542572
