arm,scope,rank,re,im,abs
A_derece,A_derece,20,33.70419016892332,-105.6658139102036,110.91094023696996
A_derece,A_derece,21,17.77071648946111,105.73128987623032,107.21429020163427
A_derece,A_derece,22,17.77071648946111,-105.73128987623032,107.21429020163427
A_derece,A_derece,23,7.65975829391523,106.57815703585311,106.85305542791076
A_derece,A_derece,24,7.65975829391523,-106.57815703585311,106.85305542791076
A_derece,A_derece,25,-16.322573339029873,106.97340459092759,108.21153214968494
A_derece,A_derece,26,-16.322573339029873,-106.97340459092759,108.21153214968494
A_derece,A_derece,27,-23.43847134427362,109.48201785406997,111.96282495701521
A_derece,A_derece,28,-23.43847134427362,-109.48201785406997,111.96282495701521
A_derece,A_derece,29,-31.980245073723296,103.57419233022232,108.39902855576375
A_derece,A_derece,30,-31.980245073723296,-103.57419233022232,108.39902855576375
A_derece,A_derece,31,-44.876667679691714,98.09711826430066,107.87474177857241
A_derece,A_derece,32,-44.876667679691714,-98.09711826430066,107.87474177857241
A_derece,A_derece,33,-47.495354753172535,96.2196081151161,107.30340958681707
A_derece,A_derece,34,-47.495354753172535,-96.2196081151161,107.30340958681707
A_derece,A_derece,35,-86.16034479711206,69.62499964633614,110.77565432580185
A_derece,A_derece,36,-86.16034479711206,-69.62499964633614,110.77565432580185
A_derece,A_derece,37,-89.58398080386394,59.79055223653014,107.70422347065272
A_derece,A_derece,38,-89.58398080386394,-59.79055223653014,107.70422347065272
A_derece,A_derece,39,-92.71864198880965,53.84260340394931,107.21834037870588
A_derece,A_derece,40,-92.71864198880965,-53.84260340394931,107.21834037870588
A_derece,A_derece,41,-97.11081081302396,45.227352429316284,107.12620120460033
A_derece,A_derece,42,-97.11081081302396,-45.227352429316284,107.12620120460033
A_derece,A_derece,43,-100.33872183088955,-36.304099513367206,106.7044832241509
A_derece,A_derece,44,-102.2812765417518,44.49749376289648,111.54141151244822
A_derece,A_derece,45,-102.2812765417518,-44.49749376289648,111.54141151244822
A_derece,A_derece,46,-107.51529448097992,3.3048632303734817,107.56607582459864
A_derece,A_derece,47,-107.51529448097992,-3.3048632303734817,107.56607582459864
A_derece,A_derece,48,-108.91444605995571,24.269060088285137,111.5855897422055
A_derece,A_derece,49,-108.91444605995571,-24.269060088285137,111.5855897422055
A_derece,A_derece,50,-112.99838387387517,0.0,112.99838387387517
A_derece,A_derece_SCC,1,110.41991509647389,28.389740934432012,114.01111805537505
A_derece,A_derece_SCC,2,110.41991509647389,-28.389740934432012,114.01111805537505
A_derece,A_derece_SCC,3,109.79946798515957,19.517084832059254,111.52058002972312
A_derece,A_derece_SCC,4,109.79946798515957,-19.517084832059254,111.52058002972312
A_derece,A_derece_SCC,5,109.37505180653574,1.3425034257902555,109.38329064866642
A_derece,A_derece_SCC,6,109.37505180653574,-1.3425034257902555,109.38329064866642
A_derece,A_derece_SCC,7,102.10429436193812,38.18688768961358,109.01158341464667
A_derece,A_derece_SCC,8,102.10429436193812,-38.18688768961358,109.01158341464667
A_derece,A_derece_SCC,9,96.67199403780467,46.19673235803218,107.14295362647512
A_derece,A_derece_SCC,10,96.67199403780467,-46.19673235803218,107.14295362647512
A_derece,A_derece_SCC,11,85.33001698659862,73.60080668329093,112.68669195323986
A_derece,A_derece_SCC,12,85.33001698659862,-73.60080668329093,112.68669195323986
A_derece,A_derece_SCC,13,82.84326974488819,69.27391903690548,107.99019955883054
A_derece,A_derece_SCC,14,82.84326974488819,-69.27391903690548,107.99019955883054
A_derece,A_derece_SCC,15,81.3901627568699,78.81069606225847,113.29379686199705
A_derece,A_derece_SCC,16,81.3901627568699,-78.81069606225847,113.29379686199705
A_derece,A_derece_SCC,17,48.72866558782531,96.52610842491099,108.1284997474199
A_derece,A_derece_SCC,18,48.72866558782531,-96.52610842491099,108.1284997474199
A_derece,A_derece_SCC,19,33.704190168922864,105.66581391020215,110.91094023696844
A_derece,A_derece_SCC,20,33.704190168922864,-105.66581391020215,110.91094023696844
A_derece,A_derece_SCC,21,17.770716489461144,105.73128987622894,107.2142902016329
A_derece,A_derece_SCC,22,17.770716489461144,-105.73128987622894,107.2142902016329
A_derece,A_derece_SCC,23,7.659758293914961,106.57815703585345,106.85305542791109
A_derece,A_derece_SCC,24,7.659758293914961,-106.57815703585345,106.85305542791109
A_derece,A_derece_SCC,25,-16.32257333902964,106.97340459092725,108.21153214968456
A_derece,A_derece_SCC,26,-16.32257333902964,-106.97340459092725,108.21153214968456
A_derece,A_derece_SCC,27,-23.43847134427319,109.4820178540694,111.96282495701458
A_derece,A_derece_SCC,28,-23.43847134427319,-109.4820178540694,111.96282495701458
A_derece,A_derece_SCC,29,-31.98024507372304,103.57419233022159,108.39902855576298
A_derece,A_derece_SCC,30,-31.98024507372304,-103.57419233022159,108.39902855576298
A_derece,A_derece_SCC,31,-44.876667679691465,98.09711826430011,107.87474177857182
A_derece,A_derece_SCC,32,-44.876667679691465,-98.09711826430011,107.87474177857182
A_derece,A_derece_SCC,33,-47.49535475317268,96.21960811511558,107.30340958681666
A_derece,A_derece_SCC,34,-47.49535475317268,-96.21960811511558,107.30340958681666
A_derece,A_derece_SCC,35,-86.16034479711135,69.62499964633638,110.77565432580144
A_derece,A_derece_SCC,36,-86.16034479711135,-69.62499964633638,110.77565432580144
