seed,n,op,wrong,sim
4,73,+,0,0.9124999999999999
4,73,-,0,0.9249999999999998
4,74,+,0,0.9124999999999999
4,74,-,0,0.9249999999999998
4,75,+,0,0.8695819912499182
4,75,-,0,0.8874999999999998
4,76,+,0,0.8999999999999998
4,76,-,0,0.8766100170265106
4,77,+,0,0.8999999999999998
4,77,-,0,0.8889566369846305
4,78,+,0,0.9441175904999112
4,78,-,0,0.9874999999999998
4,79,+,0,0.9441175904999112
4,79,-,0,0.9938079899999065
4,80,+,0,0.9999999999999998
4,80,-,0,1.0
4,81,+,0,0.9999999999999998
4,81,-,1,1.0
5,0,+,0,0.9374999999999999
