arm,seed,train,combo,combo_mag,newn,newn_mag,shared_frac
coarse_kc_shuffled,10,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.3069444444444444
coarse_kc_shuffled,11,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.30833333333333335
coarse_kc_shuffled,12,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.2986111111111111
coarse_kc_shuffled,13,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.3166666666666667
coarse_kc_shuffled,14,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.3277777777777778
coarse_kc_shuffled,15,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.3
coarse_kc_shuffled,16,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.3138888888888889
coarse_kc_shuffled,17,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.3027777777777778
coarse_kc_shuffled,18,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.3263888888888889
coarse_kc_shuffled,19,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.3263888888888889
coarse_kc_shared_removed,0,0.6666666666666666,0.0,1.0,0.16666666666666666,0.3333333333333333,0.0
coarse_kc_shared_removed,1,0.6666666666666666,0.0,1.0,0.16666666666666666,0.3333333333333333,0.0
coarse_kc_shared_removed,2,0.6666666666666666,0.0,1.0,0.16666666666666666,0.3333333333333333,0.0
coarse_kc_shared_removed,3,0.6666666666666666,0.0,1.0,0.16666666666666666,0.3333333333333333,0.0
coarse_kc_shared_removed,4,0.6666666666666666,0.0,1.0,0.16666666666666666,0.3333333333333333,0.0
coarse_kc_shared_removed,5,0.6666666666666666,0.0,1.0,0.16666666666666666,0.3333333333333333,0.0
coarse_kc_shared_removed,6,0.6666666666666666,0.0,1.0,0.16666666666666666,0.3333333333333333,0.0
coarse_kc_shared_removed,7,0.6666666666666666,0.0,1.0,0.16666666666666666,0.3333333333333333,0.0
coarse_kc_shared_removed,8,0.6666666666666666,0.0,1.0,0.16666666666666666,0.3333333333333333,0.0
coarse_kc_shared_removed,9,0.6666666666666666,0.0,1.0,0.16666666666666666,0.3333333333333333,0.0
