r_cv,r_mean,r_std,g_max_deg,R,kuiper_V,sample
0.5246411234545865,12505.778189188593,6561.045518849768,40.80771343244327,0.053077705339551515,0.13034021978822785,122
0.49480769862079377,12655.239238827116,6261.909803259611,26.526869250057057,0.015032469850002565,0.08998358470714629,123
0.46915614974209235,12780.786278309566,5996.184481008282,41.36047405783105,0.05749089570160678,0.14868047903560783,124
0.4546129711586542,12850.583368816002,5842.04188641943,27.97867728356271,0.05157288216923287,0.140948543012948,125
0.5133570962030846,12562.70884237247,6449.155731765146,26.87284655648116,0.04721553711270468,0.1208783763917119,126
0.5796664125940166,12222.366091181748,7084.895105486077,32.38245714475836,0.07605251231546425,0.14961763310329187,127
0.5246695151035209,12505.634370642967,6561.325121307171,21.369323966842558,0.04569791917260516,0.089277838269889,128
0.46532715135350167,12799.264749427843,5955.845405270548,23.270015623635064,0.02535046254158418,0.08684424446094696,129
0.5307721138668238,12474.656915556674,6621.2000208334075,24.759127420709348,0.08826674508094036,0.14646439588677124,130
0.5415281880689056,12419.756299720486,6725.648125245009,36.37265334007975,0.06491290780562589,0.11205504742952904,131
0.43506602591477483,12942.654675399195,5630.909334413208,32.38794404836991,0.08200196070855566,0.16175809147996034,132
0.513229726988822,12563.348781624882,6447.884065258688,25.104825384046418,0.12379214591723381,0.1424320512303326,133
0.46507745846347187,12800.467262552615,5953.208781612845,23.561510418249277,0.06399954550511619,0.11357524396491891,134
0.573632341551189,12253.850038990004,7029.204690882965,24.711915948410667,0.039813229830577876,0.13691947244732322,135
0.5149814844166598,12554.542121298276,6465.356737797667,27.192944754683772,0.05031259314927148,0.09735647986043028,136
0.5237799453069384,12510.13916377069,6552.560006981999,27.274585696991583,0.049852132797706526,0.14999272311137685,137
0.5236629894935224,12510.73122274044,6551.40691285021,35.15882628150778,0.06509630828745419,0.12925889393177417,138
0.5371919535852867,12441.934094354503,6683.706882525681,28.916599530213166,0.0538329452960061,0.1367131804367367,139
0.409416069254178,13060.15133924963,5347.035825180273,32.764021009298446,0.04041327231603978,0.17122702329290013,140
0.560447394560221,12322.330065275486,6906.017779994723,31.324615146468055,0.04001024383007342,0.13242014555715198,141
0.48550676293430556,12701.101396393899,6166.47062466359,32.69739191366232,0.07617313778484643,0.15903365705604805,142
0.5117502791170375,12570.777465929446,6433.09887690756,35.614377122034476,0.060297410647329915,0.13893336850872517,143
0.5171055243492236,12543.84856899517,6486.493391627507,22.222957649203174,0.02086372109831289,0.10757090239664199,144
0.6270326100780497,11972.643470949388,7507.237885123315,30.276096322635194,0.09139022494543105,0.1561080907343867,145
0.5862795743938042,12187.76405463796,7145.437122765248,22.997294136483436,0.0122231282737259,0.08908705549542278,146
0.4577164850976755,12835.778027793598,5875.147202375659,32.776744961199476,0.053300766121669105,0.17935229897403981,147
0.5701293165765213,12272.087344488378,6996.676770680535,30.16446070578695,0.09519839389283645,0.134478022701633,148
