arm,seed,split,H,train_H,target_s,n,acc_exact,acc_within2,acc_nominal,pred_mean,pred_slope,stuck,pca_res,sat,active,lam,lam_nom,val_mse,val_acc_nom
A_gercek,9,S2,0,0,ALL,120,0.65,0.9833333333333333,0.0,-0.14798596683091697,0.92630231310565,0.05,0.13507057504212897,0.18263692162417375,0.6827195467422096,1e-05,0.01,1.6535969372664823,0.43333333333333335
A_gercek,9,S2,0,0,-6,60,0.7833333333333333,0.9666666666666667,0.0,-5.705799845464814,,0.03333333333333333,0.12411017470905557,0.18263692162417375,0.6827195467422096,1e-05,0.01,1.6535969372664823,0.43333333333333335
A_gercek,9,S2,0,0,6,60,0.5166666666666667,1.0,0.0,5.40982791180298,,0.06666666666666667,0.14603097537520238,0.18263692162417375,0.6827195467422096,1e-05,0.01,1.6535969372664823,0.43333333333333335
A_gercek,9,S2,10,10,ALL,120,0.008333333333333333,0.44166666666666665,0.0,-0.3587680253393875,0.47893305639057043,0.8666666666666667,0.17209933761269153,0.23671702864337424,0.6798866855524079,0.01,0.1,4.106453993026885,0.38
A_gercek,9,S2,10,10,-6,60,0.0,0.5833333333333334,0.0,-3.2323663636828077,,0.8,0.14118835196796517,0.23671702864337424,0.6798866855524079,0.01,0.1,4.106453993026885,0.38
A_gercek,9,S2,10,10,6,60,0.016666666666666666,0.3,0.0,2.514830313004033,,0.9333333333333333,0.20301032325741794,0.23671702864337424,0.6798866855524079,0.01,0.1,4.106453993026885,0.38
A_gercek,9,S2,20,20,ALL,120,0.025,0.3,0.0,-0.5583731247121371,0.39514920730946573,0.8916666666666667,0.22457483945458978,0.26322985520931697,0.6827195467422096,0.01,0.1,4.842520500269381,0.3933333333333333
A_gercek,9,S2,20,20,-6,60,0.05,0.4666666666666667,0.0,-2.9292683685689296,,0.7833333333333333,0.21130594436028208,0.26322985520931697,0.6827195467422096,0.01,0.1,4.842520500269381,0.3933333333333333
A_gercek,9,S2,20,20,6,60,0.0,0.13333333333333333,0.0,1.8125221191446557,,1.0,0.23784373454889757,0.26322985520931697,0.6827195467422096,0.01,0.1,4.842520500269381,0.3933333333333333
A_gercek,9,H_xfer,0,10,ALL,120,0.19166666666666668,0.4166666666666667,0.0,-2.853609626664071,0.2783346145183569,0.6166666666666667,0.4881640516707736,0.18263692162417375,0.6827195467422096,0.01,0.1,4.104387224548098,0.38
A_gercek,9,H_xfer,0,10,-6,60,0.35,0.7666666666666667,0.0,-4.523617313774211,,0.38333333333333336,0.39225859193094276,0.18263692162417375,0.6827195467422096,0.01,0.1,4.104387224548098,0.38
